id;seccion;edad;pf_ac1;pf_ac2;pf_ac3;pf_alg_2019;pf_alg_2020;alg_1b_2021;alg_2b_2021;alg_3b_2021;alg_4b_2021;ind_nivel_algebra;pf_apm_2019;pf_apm_2020;am_1b_2021;am_2b_2021;am_3b_2021;am_4b_2021;ind_nivel_am;pf_geo_2019;pf_geo_2020;geo_1b_2021;geo_2b_2021;geo_3b_2021;geo_4b_2021;ind_nivel_geo;grupo_mate;genero;anios_colegio;condicion_pago;pe1;pe2;pe3;pe4;pe5;horas_asincronas;valoracion_clases;dispos_clases;calidad_internet
1;A;15;13;19;14;16;15;16;16;15;17;3;13;12;12;13;15;12;2;13;13;15;13;14;14;2;0;M;3;deuda;Facil;Ni facil ni dificil;Facil;Facil;Bueno;3 horas;Satisfecho;1;Buena
2;A;14;16;19;17;16;17;17;16;18;18;3;17;16;15;16;17;16;3;16;16;16;14;12;16;3;0;F;3;deuda;Facil;Facil;Muy facil;Facil;Excelente;De 4 horas a mas;Muy satisfecho;4;Muy buena
3;A;14;11;18;11;11;13;12;12;16;16;3;11;11;7;8;10;8;2;11;13;14;6;12;16;2;0;M;3;deuda;Ni facil ni dificil;Ni facil ni dificil;Facil;Ni facil ni dificil;Indiferente;1 hora;Indiferente;1;Media
4;A;14;17;17;19;18;16;16;16;19;19;3;16;18;15;16;16;19;3;15;14;14;14;12;17;3;0;F;3;deuda;Facil;Muy facil;Muy facil;Facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
5;A;15;8;9;11;11;11;12;11;14;11;2;11;11;9;10;6;10;2;14;11;15;8;13;13;2;0;M;3;deuda;Ni facil ni dificil;Ni facil ni dificil;Ni facil ni dificil;Ni facil ni dificil;Indiferente;1 hora;Indiferente;2;Media
6;A;14;17;18;18;16;17;17;18;18;17;3;14;15;15;17;16;14;3;15;16;16;15;13;16;3;0;M;3;deuda;Facil;Facil;Muy facil;Facil;Bueno;3 horas;Satisfecho;1;Buena
7;A;14;15;17;19;17;17;17;18;18;18;3;16;15;16;16;17;15;3;16;14;16;15;13;16;3;0;M;3;deuda;Facil;Facil;Muy facil;Facil;Bueno;3 horas;Indiferente;2;Buena
8;A;14;18;18;20;18;18;17;17;19;19;3;18;18;16;17;18;18;3;16;16;16;15;14;17;3;0;F;3;deuda;Facil;Muy facil;Muy facil;Facil;Excelente;De 4 horas a mas;Muy satisfecho;1;Muy buena
9;A;14;6;6;10;11;11;10;9;8;8;1;11;11;6;5;5;5;1;12;12;16;6;10;10;2;0;M;3;deuda;Ni facil ni dificil;Ni facil ni dificil;Ni facil ni dificil;Ni facil ni dificil;Indiferente;2 horas;Indiferente;5;Media
10;A;14;16;17;20;17;16;15;15;18;18;3;12;12;12;13;16;14;2;16;13;16;13;11;16;3;0;F;3;deuda;Facil;Facil;Muy facil;Facil;Bueno;3 horas;Satisfecho;4;Buena
11;A;15;13;13;19;11;16;10;14;16;18;3;11;11;8;10;11;9;2;14;11;15;11;13;14;2;0;F;4;deuda;Facil;Ni facil ni dificil;Facil;Facil;Bueno;3 horas;Satisfecho;2;Buena
12;A;15;13;15;18;18;15;15;16;18;18;3;12;13;11;13;14;11;2;12;12;16;12;12;16;2;0;M;3;deuda;Facil;Ni facil ni dificil;Muy facil;Facil;Bueno;3 horas;Satisfecho;3;Buena
13;A;14;14;14;19;15;18;14;15;17;18;3;11;12;13;12;13;10;2;15;15;16;12;13;13;3;0;M;3;deuda;Facil;Ni facil ni dificil;Muy facil;Facil;Bueno;3 horas;Satisfecho;3;Buena
14;A;14;17;17;17;17;17;17;17;17;17;3;15;14;14;15;16;12;3;16;16;16;15;15;17;3;0;F;3;deuda;Facil;Facil;Muy facil;Facil;Bueno;3 horas;Satisfecho;2;Buena
15;A;15;11;12;16;13;14;14;13;15;16;3;11;11;10;11;12;11;2;12;14;14;11;12;13;2;0;F;3;deuda;Facil;Ni facil ni dificil;Facil;Facil;Bueno;3 horas;Satisfecho;1;Buena
16;A;15;18;18;20;19;19;18;18;19;19;3;15;17;15;17;17;15;3;17;15;17;15;14;17;3;0;F;3;deuda;Facil;Facil;Muy facil;Facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
17;A;14;16;18;19;19;19;17;19;18;19;3;14;13;13;13;17;16;3;12;17;15;12;15;17;3;0;F;3;deuda;Facil;Facil;Muy facil;Facil;Bueno;3 horas;Satisfecho;2;Buena
18;A;14;9;8;15;13;13;10;10;14;14;3;11;11;8;7;8;9;2;11;15;15;8;14;14;2;0;M;4;deuda;Facil;Ni facil ni dificil;Facil;Facil;Indiferente;2 horas;Indiferente;3;Media
19;A;15;12;12;18;15;15;16;16;14;15;3;11;11;6;9;7;8;1;11;11;14;6;10;13;2;0;M;3;deuda;Ni facil ni dificil;Ni facil ni dificil;Facil;Ni facil ni dificil;Indiferente;2 horas;Indiferente;4;Media
20;A;15;15;17;19;13;12;10;14;13;16;3;11;15;10;15;13;14;2;14;15;15;12;14;14;3;0;M;3;deuda;Facil;Facil;Facil;Facil;Bueno;3 horas;Satisfecho;2;Buena
21;A;14;16;17;18;16;19;16;17;17;19;3;17;17;16;17;15;15;3;15;16;15;12;12;16;3;0;M;3;deuda;Facil;Muy facil;Muy facil;Facil;Excelente;De 4 horas a mas;Muy satisfecho;4;Muy buena
22;A;14;14;14;17;17;17;16;18;16;18;3;13;11;13;13;13;12;2;13;14;16;13;12;14;2;0;M;3;deuda;Facil;Ni facil ni dificil;Muy facil;Facil;Bueno;3 horas;Satisfecho;2;Buena
23;A;15;14;14;18;18;17;16;15;18;17;3;12;15;10;15;15;11;2;11;12;15;11;13;16;2;0;M;3;deuda;Ni facil ni dificil;Facil;Muy facil;Ni facil ni dificil;Bueno;3 horas;Satisfecho;2;Buena
24;A;15;11;9;16;11;13;9;11;12;13;2;11;11;6;9;8;9;2;11;11;15;10;13;13;2;0;M;3;deuda;Ni facil ni dificil;Ni facil ni dificil;Ni facil ni dificil;Ni facil ni dificil;Indiferente;2 horas;Indiferente;3;Media
25;A;15;19;19;20;18;19;17;18;19;19;3;19;18;16;17;19;19;3;17;16;18;17;15;17;3;0;F;3;deuda;Muy facil;Muy facil;Muy facil;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;3;Muy buena
26;A;14;17;18;19;19;18;17;18;18;19;3;15;16;15;17;17;16;3;18;14;18;13;13;17;3;0;M;3;deuda;Facil;Facil;Muy facil;Facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
27;A;15;12;12;17;13;18;15;11;13;18;3;12;11;8;8;13;13;2;11;11;15;10;10;14;2;0;F;3;deuda;Ni facil ni dificil;Ni facil ni dificil;Facil;Ni facil ni dificil;Bueno;3 horas;Satisfecho;2;Buena
28;A;14;17;18;19;16;15;15;17;18;18;3;16;16;15;15;16;14;3;16;15;15;15;13;17;3;0;F;3;deuda;Facil;Facil;Facil;Facil;Bueno;3 horas;Satisfecho;4;Buena
29;B;14;17;17;19;19;17;16;17;19;19;3;18;13;16;13;18;19;3;17;15;16;14;16;18;3;0;M;3;deuda;Facil;Facil;Muy facil;Facil;Excelente;De 4 horas a mas;Muy satisfecho;3;Muy buena
